spp,x,G,N,time,ext
Species1,8.648185358583405,161.1530265563495,5.637969210974517e8,16610.66630390954,Extant
Species1,8.636415439006964,160.74581460700566,5.646701678088827e8,16823.208850110783,Extant
Species1,8.625837328188197,160.603151307383,5.647856553317351e8,17040.948006930128,Extant
Species1,8.637755522957477,160.4147970388925,5.65111939477487e8,17257.090702997615,Extant
Species1,8.645908804426593,160.20660198960687,5.654592132389722e8,17473.269638671067,Extant
Species1,8.647834830807383,160.11412259716667,5.65806354005086e8,17687.87680354454,Extant
Species1,8.647585955030264,159.91496964309897,5.65875122953103e8,17908.811457827956,Extant
Species1,8.650820020614049,159.99642716115858,5.659132553148417e8,18130.90022959613,Extant
Species1,8.636982626333763,159.563727361081,5.665157001046221e8,18353.967120510788,Extant
Species1,8.632820490833796,159.62469087052145,5.663722186405033e8,18574.481604005392,Extant
Species1,8.631339653473754,159.47687452442756,5.665725550028398e8,18799.257007625532,Extant
Species1,8.626232553030736,159.5969437031255,5.665431723385752e8,19020.98989515391,Extant
Species1,8.612178095471323,159.57641815526884,5.663388867171065e8,19242.788512305655,Extant
Species1,8.62028636064306,159.39507095480786,5.669270692225662e8,19468.06931187532,Extant
Species1,8.613327355168012,159.20841278581617,5.673566578463488e8,19689.302134462556,Extant
Species1,8.614631717759162,158.96471381312602,5.676984503308464e8,19914.462791465772,Extant
Species1,8.622337586875927,158.70660910667962,5.682199663932935e8,20138.261828549927,Extant
Species1,8.629725930603218,158.65807298531254,5.679879544135693e8,20363.28610431173,Extant
Species1,8.62260729359384,158.4722099590434,5.685734803054416e8,20586.969924631198,Extant
Species1,8.626007208722456,158.06365164543504,5.693568296275309e8,20808.39834597207,Extant
Species1,8.63637232961949,157.87119642445884,5.696879053170159e8,21033.63400741187,Extant
Species1,8.647864134483147,157.75051035524208,5.700655670673566e8,21255.240402855623,Extant
Species1,8.662469888994178,157.76036342790056,5.699032654479121e8,21478.80268651536,Extant
Species1,8.679304929083214,157.67325401840375,5.699499004850092e8,21704.87669126778,Extant
Species1,8.684325537330599,157.30059224555285,5.708384910149535e8,21932.702214534725,Extant
Species1,8.687554106531536,157.1106188698012,5.712224359365312e8,22159.769274758004,Extant
Species1,8.689372503992603,157.0289982335982,5.70836597438457e8,22383.002801970335,Extant
Species1,8.685027635426538,157.48900657089345,5.700736707324077e8,22602.937581005885,Extant
Species1,8.687600402743042,157.58001350418058,5.703603862988762e8,22806.345522406995,Extant
Species1,8.683415738934883,157.26716913595715,5.706413636555082e8,22965.8587381163,Extant
Species1,8.676274832461326,157.19302167689145,5.709445862704152e8,23193.367941045446,Extant
Species1,8.681741373851489,156.90866973617148,5.713693717141166e8,23420.707029781035,Extant
Species1,8.68842323998727,156.79759937878563,5.716536271765066e8,23648.15957695494,Extant
Species1,8.686514995396944,156.56934055281593,5.720423504077262e8,23877.730234899976,Extant
Species1,8.68821732662529,156.5820728640659,5.721999829490464e8,24109.07776106777,Extant
Species1,8.676850777901087,156.2440541781615,5.727881769359895e8,24337.05689096556,Extant
Species1,8.679867782017638,156.2422107329234,5.72651757293201e8,24566.024237437145,Extant
Species1,8.689194753708087,155.99090082454185,5.731946701743004e8,24789.52930545601,Extant
Species1,8.695295086330807,155.79025609715174,5.733985580942974e8,25015.722864025895,Extant
Species1,8.697262879275108,155.75777544841,5.736253008520755e8,25242.587075008814,Extant
Species1,8.704311920485887,155.88976744554378,5.733156961029489e8,25471.43639127517,Extant
Species1,8.703902233550467,155.90745015637177,5.730146099996203e8,25701.775220037183,Extant
Species1,8.701067626181999,155.92992042362437,5.731452106408412e8,25925.4793539886,Extant
Species1,8.701098174759798,155.94713966208488,5.734227248349091e8,26146.620459843263,Extant
Species1,8.706956526550554,155.9055582324863,5.734914886784965e8,26248.583864779317,Extant
Species1,8.704190613957879,155.68813018739158,5.740224191021377e8,26366.302810636054,Extant
Species1,8.698662866162017,155.52533439059334,5.739678428228683e8,26595.606202584386,Extant
Species1,8.703200269801888,155.604059169019,5.738303138751594e8,26816.805461059583,Extant
Species1,8.718711067771439,155.67306298909637,5.734939895535591e8,27045.723385708858,Extant
Species1,8.714417609985775,155.67994753756122,5.739940687094074e8,27266.570825255025,Extant
Species1,8.713855882218843,155.50625788844494,5.741181345578873e8,27353.34841869002,Extant
Species1,8.712295001079847,155.28133550242487,5.742732509414403e8,27490.54624998141,Extant
Species1,8.713910605534387,155.34456851434297,5.744222812345204e8,27562.274008031258,Extant
Species1,8.717539987633677,155.3002171251719,5.744909217300645e8,27627.676102423742,Extant
Species1,8.724263361724475,155.21551772633794,5.746374967040457e8,27852.263550202948,Extant
Species1,8.71157155095184,155.0688441689022,5.749998205588512e8,28015.4119240631,Extant
Species1,8.713912774929858,154.9904755011854,5.748612855476714e8,28062.48611416461,Extant
Species1,8.714034256032996,154.9556444802366,5.749232873744801e8,28151.77973491,Extant
Species1,8.726649196234762,154.96857198655414,5.75008240761578e8,28371.04530242137,Extant
Species1,8.72667206224256,155.04092200479852,5.748152095571877e8,28600.247699274398,Extant
Species1,8.730298551306698,155.14436164089855,5.747698106840148e8,28829.9275270026,Extant
Species1,8.717407955191733,155.04907033552797,5.749549672826355e8,29060.46856143719,Extant
Species1,8.725613026537626,154.85437235244336,5.752403695439351e8,29289.627305924692,Extant
Species1,8.726168168897276,154.7782418747621,5.755177845444255e8,29494.892646751636,Extant
Species1,8.728375016294711,154.6454600183651,5.756239079051592e8,29656.67129353977,Extant
Species1,8.7302058441337,154.5185842399568,5.757079140883191e8,29801.49700542376,Extant
Species1,8.72994119383444,154.6112913162895,5.757174852422415e8,29917.911099227265,Extant
Species1,8.735143947334135,154.64651910372297,5.755869343799094e8,29999.95940833151,Extant
Species1,8.73101407931435,154.74928515795014,5.754081373628848e8,30105.84781773132,Extant
Species1,8.734600182607005,154.72390328173776,5.753667086532321e8,30331.060075357324,Extant
Species1,8.737055483783658,154.70870764446676,5.755051144502267e8,30454.35258809697,Extant
Species1,8.72275775010366,154.72919454375017,5.758445087890793e8,30673.876056558292,Extant
Species1,8.717877709718179,154.55295319347752,5.758993283230904e8,30777.420255708428,Extant
Species1,8.715938514561454,154.51814724500835,5.760124313512208e8,30991.384337449254,Extant
Species1,8.717902137051338,154.35503661861043,5.75946596753506e8,31203.037703392096,Extant
Species1,8.709992923692733,154.2859687131747,5.766625317475891e8,31335.775319150755,Extant
Species1,8.710688860494509,154.12617418478305,5.768372650595889e8,31389.855581079286,Extant
Species1,8.715742666147074,153.97414191119907,5.771160912693654e8,31544.26476936802,Extant
Species1,8.714242618700583,153.7789762927482,5.772277462748821e8,31725.154834675395,Extant
Species1,8.71847484706407,153.64798637826598,5.776511046906871e8,31909.07380037763,Extant
Species1,8.71398916587297,153.52714311663468,5.779088259756855e8,32013.29343893509,Extant
Species1,8.702188490090762,153.52432003574182,5.778655713064954e8,32225.545522107677,Extant
Species1,8.704778435425375,153.61854668596334,5.775674441160349e8,32403.007591471425,Extant
Species1,8.702564044463957,153.72395915550408,5.775974671362951e8,32452.19917521338,Extant
Species1,8.6972261465197,153.61225830101708,5.77749170722992e8,32507.288135463805,Extant
Species1,8.699619730589674,153.7760652642344,5.770753448662665e8,32636.123721272994,Extant
Species1,8.69673088135482,153.8618209301733,5.774868491976893e8,32865.188546898295,Extant
Species1,8.700607145473478,153.64776938393055,5.772513971833216e8,33084.452871879395,Extant
Species1,8.698005116015306,153.72600668229427,5.772144347051213e8,33313.84635371577,Extant
Species1,8.689631694014862,153.9215631887198,5.768733939993058e8,33523.90888131147,Extant
Species1,8.67812597636619,154.035019599464,5.768365094328611e8,33638.24210257748,Extant
Species1,8.673638702923935,154.0891394916664,5.76776628953128e8,33664.358393064664,Extant
Species1,8.672393092129784,154.14103109516324,5.764409565038298e8,33806.20839878417,Extant
Species1,8.674547464087578,153.8578984373989,5.773379682978181e8,33978.49452624549,Extant
Species1,8.685381152828898,153.92112292022833,5.770125570325541e8,34115.28614315184,Extant
Species1,8.692477495112872,153.8852038193562,5.768271677808913e8,34278.34595946936,Extant
Species1,8.693929376360161,153.96627387271081,5.772015092815917e8,34489.622683239104,Extant
Species1,8.685659353927383,153.7399860491167,5.776161710533438e8,34607.315884639414,Extant
Species1,8.68143705671253,153.55554863778053,5.77884439870855e8,34691.2541376633,Extant
Species1,8.681355084719183,153.4945544280372,5.779514989155779e8,34834.638837629514,Extant
Species1,8.688099515410025,153.4446386218999,5.778289432207981e8,34909.81744121001,Extant
Species1,8.700294009247258,153.44203794658395,5.779354168776231e8,35138.18944572752,Extant
Species1,8.69659788945101,153.29574722414935,5.78623150461296e8,35367.71848901838,Extant
Species1,8.704210186700658,153.09406666715094,5.785561949559884e8,35596.44689576167,Extant
Species1,8.701439634780591,153.16218792609317,5.787014149255394e8,35822.4597464784,Extant
Species1,8.692288411999362,152.96372205137433,5.790173743742479e8,36033.708259834675,Extant
Species1,8.692130459186057,152.60517593935623,5.797174846776314e8,36251.581367731735,Extant
Species1,8.685656771509237,152.23510513952232,5.80213053507829e8,36479.85360818538,Extant
Species1,8.69721140121164,152.22210249479448,5.803831958425288e8,36704.38261603834,Extant
Species1,8.693475191419877,152.36156006237616,5.802405229994211e8,36934.22468130889,Extant
Species1,8.699538252448614,152.34746527749024,5.801609872183243e8,37004.509481394176,Extant
Species1,8.700706401722474,152.2519265509259,5.800295840556421e8,37149.04272997612,Extant
Species1,8.716476193700002,152.26405639951335,5.803735151412015e8,37332.898889105665,Extant
Species1,8.709828285270493,152.2068526524446,5.803709907941916e8,37509.07676628178,Extant
Species1,8.698704838753054,152.22881029402308,5.80219455531736e8,37605.44372749703,Extant
Species1,8.698509053980798,152.0418912322112,5.80616413236613e8,37836.77992301577,Extant
Species1,8.707855578633945,152.49005529155565,5.796709703565757e8,38058.05984791053,Extant
Species1,8.70491274273546,152.3858160004177,5.799344021101966e8,38238.64717637474,Extant
Species1,8.699049083515249,152.40009257023507,5.79863781015156e8,38450.907070832356,Extant
Species1,8.689274088399271,152.4736201612001,5.798354195820767e8,38675.5876735355,Extant
Species1,8.68831005040042,152.30123823123293,5.801281694820578e8,38903.6975945957,Extant
Species1,8.678917892620266,152.47759495733743,5.797390918211124e8,39128.317244533806,Extant
Species1,8.677956640468,152.41360180789235,5.798046905463058e8,39357.01232288459,Extant
Species1,8.67742463050756,152.67905524110182,5.794504185365652e8,39583.26344999068,Extant
Species1,8.680754715619761,152.6817271620281,5.792978857055676e8,39796.2908343553,Extant
Species1,8.685071396313159,152.66231409304999,5.793728902579911e8,39858.70316851342,Extant
Species1,8.688147062293869,152.72652552629086,5.792161068414311e8,39979.6772902413,Extant
Species1,8.687077335957332,153.06577337705457,5.783271751670026e8,40206.85973574647,Extant
Species1,8.676712034286872,153.29268584167917,5.783199102285888e8,40429.00907430556,Extant
Species1,8.661536875369222,153.3543405201279,5.78016822668177e8,40654.203142241255,Extant
Species1,8.657534762881735,153.34827597820603,5.778679976199068e8,40880.90964565084,Extant
Species1,8.669070836561955,153.5905330445277,5.776546172770126e8,41107.49446093649,Extant
Species1,8.678812176999877,153.66681093653597,5.775456584618763e8,41334.37430431322,Extant
Species1,8.670250778874722,153.77926865676704,5.777656207529155e8,41559.57419792591,Extant
Species1,8.661187809937552,153.5394600707248,5.779583363246481e8,41785.56617304485,Extant
Species1,8.659839990823993,153.22714049267842,5.783380310390682e8,42011.91993803534,Extant
Species1,8.662734450781253,153.31776160692883,5.777543437800736e8,42239.25439618998,Extant
Species1,8.670152509670473,153.64145690108035,5.774276569487872e8,42466.62599900172,Extant
Species1,8.664121436008289,153.60220901151447,5.77841233368981e8,42692.54221210853,Extant
Species1,8.672239392918776,153.42685563697032,5.778431087233104e8,42920.055369983456,Extant
Species1,8.667686560813985,153.54930837757666,5.773918191830053e8,43147.20695177726,Extant
Species1,8.686124931709447,153.64301641523713,5.778619487385874e8,43373.3715412406,Extant
Species1,8.690283770469438,153.41118143488438,5.779843931016973e8,43599.292400884864,Extant
Species1,8.696961968003171,153.37938891034452,5.780188657536016e8,43828.24843824665,Extant
Species1,8.687148106380596,153.36021333561874,5.78100628954493e8,44055.67248339898,Extant
Species1,8.700208218683473,153.31237515409018,5.785506916485028e8,44282.5914584165,Extant
Species1,8.697941463065307,153.02531721129608,5.789419406378909e8,44509.37232710274,Extant
Species1,8.707283848500913,153.05513290433927,5.787269913184133e8,44737.92011205178,Extant
Species1,8.706773842702953,153.07040299721854,5.785547563186125e8,44964.50866252206,Extant
Species1,8.708550510794586,153.20960809344018,5.782262333488392e8,45191.29129033822,Extant
Species1,8.71746650756195,153.24253891808004,5.783741718934275e8,45417.01101608109,Extant
Species1,8.716765570717344,152.9923636119481,5.790190902992232e8,45643.57768076677,Extant
Species1,8.71841763587833,153.24176397225395,5.780641604366755e8,45873.52834604889,Extant
Species1,8.705212886163102,153.56774699431895,5.7771124405759e8,46100.689561595325,Extant
Species1,8.709837841290796,153.47174595735135,5.778050629751545e8,46329.780149433864,Extant
Species1,8.713021309006654,153.4938807195045,5.776184485157262e8,46557.83017657012,Extant
Species1,8.70880614193221,153.5435960223972,5.778171252596577e8,46781.77133588804,Extant
Species1,8.705398637975156,153.3695547925128,5.78522766529248e8,47010.8460992479,Extant
Species1,8.700812136358746,153.31047518315356,5.782657006439106e8,47238.04705205235,Extant
Species1,8.695559910225276,153.42941422256553,5.780762646128697e8,47465.938930150325,Extant
Species1,8.701156509968161,153.04565716624458,5.784911000748401e8,47693.41040000496,Extant
Species1,8.700257346453817,152.9471784315922,5.788330445743457e8,47922.01854360831,Extant
Species1,8.701030609713676,152.96204599574946,5.789541925553513e8,48151.68212944554,Extant
Species1,8.687674223696295,152.93945174410038,5.788939410352718e8,48379.25011907865,Extant
Species1,8.694559426279394,153.01383473482866,5.789686423299441e8,48609.83546553891,Extant
Species1,8.698965856921367,153.07001851403183,5.783533906194403e8,48838.29045959338,Extant
Species1,8.703699258031365,153.29279520962663,5.779818218424559e8,49066.40689293947,Extant
Species1,8.708665375319503,153.86048301897645,5.772019803621373e8,49297.32415352444,Extant
Species1,8.701113069213367,153.69234877279098,5.773342038563765e8,49526.04858863003,Extant
Species1,8.700517694265098,153.7750905209066,5.772078834966289e8,49753.523300471716,Extant
Species1,8.697484108733759,153.847566641921,5.771132634984401e8,49876.20110527704,Extant
Species1,8.70071110068983,153.92890507783392,5.766838206354035e8,50014.57066020075,Extant
Species1,8.703621553124993,153.96187591047186,5.769942557336104e8,50241.87665386133,Extant
Species1,8.704765353506286,153.61590443399996,5.77726994621842e8,50425.654913209786,Extant
Species1,8.702301437564936,153.6108083588711,5.778171310661653e8,50447.804292732,Extant
Species1,8.699595295444874,153.5520169831806,5.77649561556328e8,50541.337440402895,Extant
Species1,8.700555873054864,153.53054119485293,5.778311133271856e8,50770.017739039395,Extant
Species1,8.70088098222089,153.37205795468185,5.779024964464362e8,50887.09235067839,Extant
Species1,8.70477217773192,153.4393942161331,5.77871802738126e8,50905.99839031495,Extant
Species1,8.70091616935703,153.62876176769993,5.777145361138595e8,51105.745909389516,Extant
